family,distribution,estimator,k,n_theory,n,median_tvd,q25_tvd,q75_tvd
continuous,normal,pmf,150,60520,50000,0.004896262549545602,0.004373422559410417,0.006001531376511981
continuous,normal,pmf,150,60520,60520,0.0046146621014525125,0.004079669517273373,0.005871278059948261
continuous,normal,kde,150,60520,500,0.03805851865800715,0.029684329828162746,0.04204699535676016
continuous,normal,kde,150,60520,1000,0.026142058562004907,0.02263464708486828,0.03103027073653888
continuous,normal,kde,150,60520,2000,0.020376466487962566,0.01718934951881708,0.024090590635807423
continuous,normal,kde,150,60520,5000,0.014935370618201615,0.013102716248730512,0.017147986013133956
continuous,normal,kde,150,60520,10000,0.011120870137009943,0.009112663688643304,0.012811856731149086
continuous,normal,kde,150,60520,20000,0.009093028402509314,0.006729693585628352,0.009477031358925865
continuous,normal,kde,150,60520,50000,0.0056679545926536495,0.004798869623928038,0.006600926575525884
continuous,normal,kde,150,60520,60520,0.0060990297803691,0.005183015186441294,0.006544830682828802
continuous,normal,gap,150,60520,500,0.029664958291312632,0.02443946159390549,0.03476011199724514
continuous,normal,gap,150,60520,1000,0.019626256130115087,0.016963967544405788,0.02379266221389159
continuous,normal,gap,150,60520,2000,0.012614729895657024,0.01037254815888474,0.014893136185530906
continuous,normal,gap,150,60520,5000,0.006294859084170854,0.005224515377711691,0.007478605766369004
continuous,normal,gap,150,60520,10000,0.00420231391484715,0.003589782064665715,0.004743462709029722
continuous,normal,gap,150,60520,20000,0.003177089841679547,0.0028756045594867437,0.0038853819165058845
continuous,normal,gap,150,60520,50000,0.003038083022157261,0.002499634845552765,0.003538336594580485
continuous,normal,gap,150,60520,60520,0.003163425452214815,0.00264980383694999,0.0036610531687353365
continuous,lognormal,pmf,150,60520,500,0.05507828140245108,0.045737160680809574,0.0632945267691032
continuous,lognormal,pmf,150,60520,1000,0.03923857413465401,0.03311197863257916,0.04252552404084932
continuous,lognormal,pmf,150,60520,2000,0.027850260014412938,0.024480518677594168,0.03179946729966695
continuous,lognormal,pmf,150,60520,5000,0.017277566304147167,0.015161018676789796,0.020513369853667605
continuous,lognormal,pmf,150,60520,10000,0.011641818313418078,0.010047150949609288,0.014247664470024695
continuous,lognormal,pmf,150,60520,20000,0.008077335819722947,0.007152115771638148,0.009122080669339424
continuous,lognormal,pmf,150,60520,50000,0.005629963193673758,0.005000287061980455,0.0064705153755406615
continuous,lognormal,pmf,150,60520,60520,0.005163144776072254,0.004529576846137311,0.005777704170967112
continuous,lognormal,kde,150,60520,500,0.0392309717149384,0.03487178310608285,0.04261486709873471
continuous,lognormal,kde,150,60520,1000,0.028108027800962117,0.02292581700334241,0.0326651540238224
continuous,lognormal,kde,150,60520,2000,0.0208533280601291,0.017926728018147764,0.025574082462496466
continuous,lognormal,kde,150,60520,5000,0.015429177117502402,0.01293966840072809,0.018468338221142144
continuous,lognormal,kde,150,60520,10000,0.010813384361076338,0.00932705992513528,0.012785899391791724
continuous,lognormal,kde,150,60520,20000,0.008312211204584481,0.0069610009256486855,0.009279848646475387
continuous,lognormal,kde,150,60520,50000,0.006081375037473043,0.005113020287095635,0.0068410550828353735
continuous,lognormal,kde,150,60520,60520,0.005851085837848017,0.005082080563430941,0.00661849883104116
continuous,lognormal,gap,150,60520,500,0.03401910152065639,0.030241234089003328,0.04003346733651729
continuous,lognormal,gap,150,60520,1000,0.02210162348782268,0.01896126843756215,0.02575003894702484
continuous,lognormal,gap,150,60520,2000,0.01446000005101027,0.011840284787898576,0.017683078393356446
continuous,lognormal,gap,150,60520,5000,0.007676059779548753,0.006425842287912827,0.008340666992422342
continuous,lognormal,gap,150,60520,10000,0.0042950113067057325,0.003979422578583865,0.00475214474302578
continuous,lognormal,gap,150,60520,20000,0.003134335380439831,0.0027110091425598956,0.0035475476452514376
continuous,lognormal,gap,150,60520,50000,0.0030385593139949183,0.002764167410839421,0.003554274136299545
continuous,lognormal,gap,150,60520,60520,0.0028840434367732553,0.002537611369164399,0.003592150513335149
continuous,weibull,pmf,150,60520,500,0.0875467806156017,0.0755187302005891,0.09430075810516861
continuous,weibull,pmf,150,60520,1000,0.06004105083016667,0.056554698305351585,0.06489290776339851
continuous,weibull,pmf,150,60520,2000,0.040966715183255224,0.03655746038690364,0.04575017326887434
continuous,weibull,pmf,150,60520,5000,0.02592534569980351,0.023083573160974098,0.02790783863571801
continuous,weibull,pmf,150,60520,10000,0.01861390376255006,0.015877851852843825,0.01975984583017101
continuous,weibull,pmf,150,60520,20000,0.012243143966728508,0.010670663332252608,0.014228063383458174
continuous,weibull,pmf,150,60520,50000,0.007832242370819725,0.006949713976859938,0.008811266382135318
continuous,weibull,pmf,150,60520,60520,0.007269428403663784,0.006816819256728853,0.007818688141972278
continuous,weibull,kde,150,60520,500,0.042129984060322936,0.03193443434684303,0.04790575046230061
continuous,weibull,kde,150,60520,1000,0.028371973221735597,0.02311415502515493,0.035338498565370205
continuous,weibull,kde,150,60520,2000,0.022460337002422344,0.02009371395928075,0.027148173328295822
continuous,weibull,kde,150,60520,5000,0.015184660671899006,0.012467674212844972,0.01847065843683188
continuous,weibull,kde,150,60520,10000,0.011682455598698138,0.010360916469003454,0.013384891478694944
continuous,weibull,kde,150,60520,20000,0.008633523850706629,0.007517474929988803,0.00987292722225944
continuous,weibull,kde,150,60520,50000,0.005885963987731968,0.0050383718457418375,0.006690177071580757
continuous,weibull,kde,150,60520,60520,0.005852611926663583,0.005098400723940649,0.006532507103853285
continuous,weibull,gap,150,60520,500,0.07035398990264544,0.06470189319151126,0.08140535595496806
continuous,weibull,gap,150,60520,1000,0.04717724869812506,0.042164369953177294,0.05271800088879921
continuous,weibull,gap,150,60520,2000,0.0326616983068765,0.030410363997430544,0.038133733162309835
continuous,weibull,gap,150,60520,5000,0.019528567323820304,0.018133098813198963,0.022153811217069833
continuous,weibull,gap,150,60520,10000,0.013193434799074085,0.01184008609330969,0.015575485531990507
continuous,weibull,gap,150,60520,20000,0.008295586937067865,0.007582686753705405,0.00969590626818718
continuous,weibull,gap,150,60520,50000,0.004502370692699664,0.004224460638500873,0.005199920678887934
continuous,weibull,gap,150,60520,60520,0.003955479280738024,0.0036141103431972087,0.004482394131468213
