dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
piecewise,10,2,1999,n/2,999,45,0.0043443443443443586
piecewise,10,2,1999,n/2,999,46,0.0006606606606606447
piecewise,10,2,1999,n/2,999,47,0.02436436436436437
piecewise,10,2,1999,n/2,999,48,0.024684684684684682
piecewise,10,2,1999,n/2,999,49,0.01667667667667666
piecewise,10,2,1999,n/2,999,50,0.014674674674674676
piecewise,10,2,1999,n,1999,1,0.004332166083041544
piecewise,10,2,1999,n,1999,2,0.0016708354177088491
piecewise,10,2,1999,n,1999,3,0.0033316658329164694
piecewise,10,2,1999,n,1999,4,0.008674337168584317
piecewise,10,2,1999,n,1999,5,0.013336668334167079
piecewise,10,2,1999,n,1999,6,0.0006703351675838021
piecewise,10,2,1999,n,1999,7,0.0021710855427714004
piecewise,10,2,1999,n,1999,8,0.015337668834417229
piecewise,10,2,1999,n,1999,9,0.007833916958479237
piecewise,10,2,1999,n,1999,10,0.00017008504252125078
piecewise,10,2,1999,n,1999,11,0.011335667833916957
piecewise,10,2,1999,n,1999,12,0.021680840420210096
piecewise,10,2,1999,n,1999,13,0.0073336668334166855
piecewise,10,2,1999,n,1999,14,0.01217608804402201
piecewise,10,2,1999,n,1999,15,0.005172586293146597
piecewise,10,2,1999,n,1999,16,0.009174587293646813
piecewise,10,2,1999,n,1999,17,0.013336668334167079
piecewise,10,2,1999,n,1999,18,0.0211805902951476
piecewise,10,2,1999,n,1999,19,0.0036718359179589988
piecewise,10,2,1999,n,1999,20,0.005172586293146597
piecewise,10,2,1999,n,1999,21,0.006173086543271616
piecewise,10,2,1999,n,1999,22,0.0036718359179589988
piecewise,10,2,1999,n,1999,23,0.005332666333166564
piecewise,10,2,1999,n,1999,24,0.014177088544272132
piecewise,10,2,1999,n,1999,25,0.002831415707853946
piecewise,10,2,1999,n,1999,26,0.005332666333166564
piecewise,10,2,1999,n,1999,27,0.01617808904452228
piecewise,10,2,1999,n,1999,28,0.0211805902951476
piecewise,10,2,1999,n,1999,29,0.005832916458229087
piecewise,10,2,1999,n,1999,30,0.007173586793396719
piecewise,10,2,1999,n,1999,31,0.02068034017008502
piecewise,10,2,1999,n,1999,32,0.004172086043021522
piecewise,10,2,1999,n,1999,33,0.007833916958479237
piecewise,10,2,1999,n,1999,34,0.004832416208104068
piecewise,10,2,1999,n,1999,35,0.009174587293646813
piecewise,10,2,1999,n,1999,36,0.008674337168584317
piecewise,10,2,1999,n,1999,37,0.005172586293146597
piecewise,10,2,1999,n,1999,38,0.002671335667833924
piecewise,10,2,1999,n,1999,39,0.0031715857928964475
piecewise,10,2,1999,n,1999,40,0.0033316658329164694
piecewise,10,2,1999,n,1999,41,0.0016708354177088491
piecewise,10,2,1999,n,1999,42,0.0016708354177088491
piecewise,10,2,1999,n,1999,43,0.011675837918959486
piecewise,10,2,1999,n,1999,44,0.01567783891945973
piecewise,10,2,1999,n,1999,45,0.010835417708854433
piecewise,10,2,1999,n,1999,46,0.0013306653326663476
piecewise,10,2,1999,n,1999,47,0.029684842421210583
piecewise,10,2,1999,n,1999,48,0.009334667333666835
piecewise,10,2,1999,n,1999,49,0.010835417708854433
piecewise,10,2,1999,n,1999,50,0.00833416708354176
piecewise,10,2,1999,2n,3998,1,0.005332666333166564
piecewise,10,2,1999,2n,3998,2,0.0049224612306153215
piecewise,10,2,1999,2n,3998,3,0.0049224612306153215
piecewise,10,2,1999,2n,3998,4,0.008424212106053014
piecewise,10,2,1999,2n,3998,5,0.008584292146073036
piecewise,10,2,1999,2n,3998,6,0.010835417708854433
piecewise,10,2,1999,2n,3998,7,0.002671335667833924
piecewise,10,2,1999,2n,3998,8,0.002331165582791367
piecewise,10,2,1999,2n,3998,9,0.0020810405202601467
piecewise,10,2,1999,2n,3998,10,0.006083041520760363
piecewise,10,2,1999,2n,3998,11,0.008834417208604284
piecewise,10,2,1999,2n,3998,12,0.012676338169084533
piecewise,10,2,1999,2n,3998,13,0.003421710855427723
piecewise,10,2,1999,2n,3998,14,0.008674337168584317
piecewise,10,2,1999,2n,3998,15,0.005672836418209121
piecewise,10,2,1999,2n,3998,16,0.01142571285642821
piecewise,10,2,1999,2n,3998,17,0.00908454227113556
piecewise,10,2,1999,2n,3998,18,0.008174087043521738
piecewise,10,2,1999,2n,3998,19,0.001080540270135072
piecewise,10,2,1999,2n,3998,20,0.008084042021010485
piecewise,10,2,1999,2n,3998,21,0.01567783891945973
piecewise,10,2,1999,2n,3998,22,0.0031715857928964475
piecewise,10,2,1999,2n,3998,23,0.0073336668334166855
piecewise,10,2,1999,2n,3998,24,0.0031715857928964475
piecewise,10,2,1999,2n,3998,25,0.0020810405202601467
piecewise,10,2,1999,2n,3998,26,0.00033016508254127275
piecewise,10,2,1999,2n,3998,27,0.008674337168584317
piecewise,10,2,1999,2n,3998,28,0.01142571285642821
piecewise,10,2,1999,2n,3998,29,0.006333166583291666
piecewise,10,2,1999,2n,3998,30,0.0036718359179589988
piecewise,10,2,1999,2n,3998,31,0.0066733366683341955
piecewise,10,2,1999,2n,3998,32,0.0024212106053026483
piecewise,10,2,1999,2n,3998,33,0.006583291645822886
piecewise,10,2,1999,2n,3998,34,0.005332666333166564
piecewise,10,2,1999,2n,3998,35,0.0036718359179589988
piecewise,10,2,1999,2n,3998,36,0.004672336168084018
piecewise,10,2,1999,2n,3998,37,0.004172086043021522
piecewise,10,2,1999,2n,3998,38,0.00033016508254127275
piecewise,10,2,1999,2n,3998,39,0.006923461730865416
piecewise,10,2,1999,2n,3998,40,0.006583291645822886
piecewise,10,2,1999,2n,3998,41,0.010425212606303136
piecewise,10,2,1999,2n,3998,42,0.004332166083041544
piecewise,10,2,1999,2n,3998,43,0.001080540270135072
piecewise,10,2,1999,2n,3998,44,0.011925962981490734
piecewise,10,2,1999,2n,3998,45,0.0073336668334166855
piecewise,10,2,1999,2n,3998,46,0.004422211105552798
piecewise,10,2,1999,2n,3998,47,0.018929464732366202
piecewise,10,2,1999,2n,3998,48,0.006173086543271616
piecewise,10,2,1999,2n,3998,49,0.0015807903951975955
piecewise,10,2,1999,2n,3998,50,0.0031715857928964475
piecewise,10,2,1999,4n,7996,1,0.004547273636818394
piecewise,10,2,1999,4n,7996,2,0.005672836418209121
piecewise,10,2,1999,4n,7996,3,0.0014557278639319438
piecewise,10,2,1999,4n,7996,4,0.002671335667833924
piecewise,10,2,1999,4n,7996,5,0.0037068534267133413
piecewise,10,2,1999,4n,7996,6,0.004832416208104068
piecewise,10,2,1999,4n,7996,7,0.003921960980490247
piecewise,10,2,1999,4n,7996,8,0.0049224612306153215
piecewise,10,2,1999,4n,7996,9,0.0027063531765882942
piecewise,10,2,1999,4n,7996,10,0.00033016508254127275
piecewise,10,2,1999,4n,7996,11,0.0073336668334166855
piecewise,10,2,1999,4n,7996,12,0.009799899949974988
piecewise,10,2,1999,4n,7996,13,0.0034567283641820934
piecewise,10,2,1999,4n,7996,14,0.0012956478239119773
piecewise,10,2,1999,4n,7996,15,0.008799399699849941
piecewise,10,2,1999,4n,7996,16,0.0025462731365682723
piecewise,10,2,1999,4n,7996,17,0.011210605302651305
piecewise,10,2,1999,4n,7996,18,0.005922961480740396
piecewise,10,2,1999,4n,7996,19,0.003581790895447745
piecewise,10,2,1999,4n,7996,20,0.0017058529264632194
piecewise,10,2,1999,4n,7996,21,0.0032966483241620714
piecewise,10,2,1999,4n,7996,22,0.0044572286143071405
piecewise,10,2,1999,4n,7996,23,0.0038319159579789652
piecewise,10,2,1999,4n,7996,24,0.01305152576288146
piecewise,10,2,1999,4n,7996,25,0.0037068534267133413
piecewise,10,2,1999,4n,7996,26,0.0022961480740369966
piecewise,10,2,1999,4n,7996,27,0.004957478739369692
piecewise,10,2,1999,4n,7996,28,0.002831415707853946
piecewise,10,2,1999,4n,7996,29,0.0032066033016508178
