dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
binomial,2000,0.0500,δ,9599,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,2.3998,0.0000
piecewise,100,0.0083,δ/6,9199,1700.0000,1743.0000,1600.0000,1900.0000,0.9500,5.4112,0.0000
piecewise,100,0.0100,δ/5,9199,1500.0000,1489.0000,1400.0000,1600.0000,0.8300,6.1327,0.0000
piecewise,100,0.0125,δ/4,9199,1300.0000,1254.0000,1100.0000,1400.0000,0.7300,7.0762,0.0000
piecewise,100,0.0167,δ/3,9199,1000.0000,1007.0000,900.0000,1100.0000,0.4800,9.1990,0.0000
piecewise,100,0.0250,δ/2,9199,700.0000,710.0000,675.0000,800.0000,0.1900,13.1414,0.0000
piecewise,100,0.0500,δ,9199,400.0000,414.0000,400.0000,400.0000,0.0200,22.9975,0.0000
piecewise,200,0.0083,δ/6,9199,2600.0000,2654.0000,2400.0000,2800.0000,1.0000,3.5381,0.0000
piecewise,200,0.0100,δ/5,9199,2200.0000,2278.0000,2150.0000,2400.0000,1.0000,4.1814,0.0000
piecewise,200,0.0125,δ/4,9199,1800.0000,1874.0000,1800.0000,2000.0000,0.9500,5.1106,0.0000
piecewise,200,0.0167,δ/3,9199,1400.0000,1482.0000,1400.0000,1600.0000,0.8500,6.5707,0.0000
piecewise,200,0.0250,δ/2,9199,1000.0000,1066.0000,1000.0000,1200.0000,0.5700,9.1990,0.0000
piecewise,200,0.0500,δ,9199,600.0000,666.0000,600.0000,800.0000,0.1300,15.3317,0.0000
piecewise,300,0.0083,δ/6,9199,3300.0000,3318.0000,3000.0000,3600.0000,1.0000,2.7876,0.0000
piecewise,300,0.0100,δ/5,9199,3000.0000,2883.0000,2700.0000,3000.0000,1.0000,3.0663,0.0000
piecewise,300,0.0125,δ/4,9199,2400.0000,2433.0000,2100.0000,2700.0000,0.9800,3.8329,0.0000
piecewise,300,0.0167,δ/3,9199,1800.0000,1866.0000,1800.0000,2100.0000,0.9300,5.1106,0.0000
piecewise,300,0.0250,δ/2,9199,1500.0000,1389.0000,1200.0000,1500.0000,0.7600,6.1327,0.0000
piecewise,300,0.0500,δ,9199,900.0000,861.0000,900.0000,900.0000,0.4000,10.2211,0.0000
piecewise,500,0.0083,δ/6,9199,4500.0000,4545.0000,4375.0000,5000.0000,1.0000,2.0442,0.0000
piecewise,500,0.0100,δ/5,9199,4000.0000,3905.0000,3500.0000,4500.0000,1.0000,2.2997,0.0000
piecewise,500,0.0125,δ/4,9199,3000.0000,3240.0000,3000.0000,3500.0000,1.0000,3.0663,0.0000
piecewise,500,0.0167,δ/3,9199,2500.0000,2560.0000,2500.0000,3000.0000,0.9900,3.6796,0.0000
piecewise,500,0.0250,δ/2,9199,2000.0000,1940.0000,2000.0000,2000.0000,0.9600,4.5995,0.0000
piecewise,500,0.0500,δ,9199,1500.0000,1270.0000,1000.0000,1500.0000,0.6900,6.1327,0.0000
piecewise,750,0.0083,δ/6,9199,6000.0000,5707.5000,5250.0000,6000.0000,1.0000,1.5332,0.0000
piecewise,750,0.0100,δ/5,9199,5250.0000,4942.5000,4500.0000,5250.0000,1.0000,1.7522,0.0000
piecewise,750,0.0125,δ/4,9199,4500.0000,4252.5000,3750.0000,4500.0000,1.0000,2.0442,0.0000
piecewise,750,0.0167,δ/3,9199,3750.0000,3382.5000,3000.0000,3750.0000,1.0000,2.4531,0.0000
piecewise,750,0.0250,δ/2,9199,2250.0000,2512.5000,2250.0000,3000.0000,1.0000,4.0884,0.0000
piecewise,750,0.0500,δ,9199,1500.0000,1545.0000,1500.0000,1500.0000,0.8500,6.1327,0.0000
piecewise,1000,0.0083,δ/6,9199,7000.0000,6920.0000,6000.0000,7000.0000,1.0000,1.3141,0.0000
piecewise,1000,0.0100,δ/5,9199,6000.0000,5870.0000,5000.0000,6000.0000,1.0000,1.5332,0.0000
piecewise,1000,0.0125,δ/4,9199,5000.0000,5030.0000,5000.0000,5000.0000,1.0000,1.8398,0.0000
piecewise,1000,0.0167,δ/3,9199,4000.0000,4090.0000,4000.0000,4000.0000,1.0000,2.2997,0.0000
piecewise,1000,0.0250,δ/2,9199,3000.0000,3120.0000,3000.0000,3000.0000,1.0000,3.0663,0.0000
piecewise,1000,0.0500,δ,9199,2000.0000,2020.0000,2000.0000,2000.0000,0.9900,4.5995,0.0000
piecewise,1500,0.0083,δ/6,9199,9000.0000,9045.0000,9000.0000,9000.0000,1.0000,1.0221,0.0000
piecewise,1500,0.0100,δ/5,9199,7500.0000,7635.0000,7500.0000,9000.0000,1.0000,1.2265,0.0000
piecewise,1500,0.0125,δ/4,9199,6000.0000,6585.0000,6000.0000,7500.0000,1.0000,1.5332,0.0000
