dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
lognormal,2000,0.0500,δ,179744,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,44.9360,0.0000
normal,100,0.0083,δ/6,179744,900.0000,942.0000,800.0000,1100.0000,0.9800,199.7156,0.0000
normal,100,0.0100,δ/5,179744,800.0000,789.0000,700.0000,900.0000,0.9800,224.6800,0.0000
normal,100,0.0125,δ/4,179744,600.0000,631.0000,500.0000,700.0000,0.9000,299.5733,0.0000
normal,100,0.0167,δ/3,179744,500.0000,519.0000,400.0000,600.0000,0.9000,359.4880,0.0000
normal,100,0.0250,δ/2,179744,400.0000,365.0000,300.0000,400.0000,0.7100,449.3600,0.0000
normal,100,0.0500,δ,179744,200.0000,238.0000,200.0000,300.0000,0.5300,898.7200,0.0000
normal,200,0.0083,δ/6,179744,1600.0000,1506.0000,1200.0000,1800.0000,1.0000,112.3400,0.0000
normal,200,0.0100,δ/5,179744,1300.0000,1276.0000,1000.0000,1400.0000,1.0000,138.2646,0.0000
normal,200,0.0125,δ/4,179744,1000.0000,1076.0000,1000.0000,1200.0000,0.9800,179.7440,0.0000
normal,200,0.0167,δ/3,179744,800.0000,816.0000,800.0000,1000.0000,0.9300,224.6800,0.0000
normal,200,0.0250,δ/2,179744,600.0000,620.0000,600.0000,650.0000,0.8900,299.5733,0.0000
normal,200,0.0500,δ,179744,400.0000,424.0000,400.0000,400.0000,0.7900,449.3600,0.0000
normal,300,0.0083,δ/6,179744,2100.0000,1968.0000,1800.0000,2100.0000,1.0000,85.5924,0.0000
normal,300,0.0100,δ/5,179744,1800.0000,1746.0000,1500.0000,1875.0000,1.0000,99.8578,0.0000
normal,300,0.0125,δ/4,179744,1500.0000,1407.0000,1200.0000,1500.0000,1.0000,119.8293,0.0000
normal,300,0.0167,δ/3,179744,1200.0000,1134.0000,900.0000,1200.0000,0.9900,149.7867,0.0000
normal,300,0.0250,δ/2,179744,900.0000,834.0000,600.0000,900.0000,0.9500,199.7156,0.0000
normal,300,0.0500,δ,179744,600.0000,609.0000,600.0000,600.0000,0.9200,299.5733,0.0000
normal,500,0.0083,δ/6,179744,2500.0000,2760.0000,2500.0000,3000.0000,1.0000,71.8976,0.0000
normal,500,0.0100,δ/5,179744,2500.0000,2445.0000,2000.0000,3000.0000,1.0000,71.8976,0.0000
normal,500,0.0125,δ/4,179744,2000.0000,2005.0000,2000.0000,2125.0000,1.0000,89.8720,0.0000
normal,500,0.0167,δ/3,179744,1500.0000,1620.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
normal,500,0.0250,δ/2,179744,1500.0000,1275.0000,1000.0000,1500.0000,0.9900,119.8293,0.0000
normal,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,0.9900,179.7440,0.0000
normal,750,0.0083,δ/6,179744,3750.0000,3705.0000,3000.0000,4500.0000,1.0000,47.9317,0.0000
normal,750,0.0100,δ/5,179744,3000.0000,3180.0000,3000.0000,3750.0000,1.0000,59.9147,0.0000
normal,750,0.0125,δ/4,179744,3000.0000,2730.0000,2250.0000,3000.0000,1.0000,59.9147,0.0000
normal,750,0.0167,δ/3,179744,2250.0000,2175.0000,2250.0000,2250.0000,1.0000,79.8862,0.0000
normal,750,0.0250,δ/2,179744,1500.0000,1702.5000,1500.0000,2250.0000,1.0000,119.8293,0.0000
normal,750,0.0500,δ,179744,1500.0000,1500.0000,1500.0000,1500.0000,1.0000,119.8293,0.0000
normal,1000,0.0083,δ/6,179744,4000.0000,4380.0000,4000.0000,5000.0000,1.0000,44.9360,0.0000
normal,1000,0.0100,δ/5,179744,4000.0000,3930.0000,3000.0000,4000.0000,1.0000,44.9360,0.0000
normal,1000,0.0125,δ/4,179744,3000.0000,3310.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
normal,1000,0.0167,δ/3,179744,3000.0000,2640.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
normal,1000,0.0250,δ/2,179744,2000.0000,2130.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
normal,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
normal,1500,0.0083,δ/6,179744,6000.0000,5955.0000,6000.0000,6000.0000,1.0000,29.9573,0.0000
